id,title_info_primary_tsi,date_start_dtsi,date_start_tsim,subject_bbox_geospatial,subject_geojson_facet_ssim,filenames_ssim,exemplary_image_ssi
commonwealth:cj82kn526,"Circulus Franconius, in quo sunt episcopatus Wurtzburg, Bamberg et Aichstet",1680-01-01T00:00:00Z,1680,"ENVELOPE(9.23\, 12.34\, 50.46\, 48.37)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[90.0\,50.0]}\,""properties"":{""placename"":""Franconia\, Germany""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[9.23\,48.37]\,[12.34\,48.37]\,[12.34\,50.46]\,[9.23\,50.46]\,[9.23\,48.37]]]}\,""bbox"":[9.23\,48.37\,12.34\,50.46]}",06_01_009205,commonwealth:cj82kn53g
commonwealth:4m90fk907,"Vallée de l'Amazone de Faro a Alemquer, Rio Trombetas - Rio Ariramba",1903-01-01T00:00:00Z,1903,"ENVELOPE(-56.5\, -54.5\, -1.0\, -2.5)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-49.0\,-10.0]}\,""properties"":{""placename"":""Amazon River""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-53.0\,-4.0]}\,""properties"":{""placename"":""Pará\, Brazil""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-56.5\,-2.5]\,[-54.5\,-2.5]\,[-54.5\,-1.0]\,[-56.5\,-1.0]\,[-56.5\,-2.5]]]}\,""bbox"":[-56.5\,-2.5\,-54.5\,-1.0]}",06_01_011994,commonwealth:4m90fk91h
commonwealth:4m90f861x,"The two routes surveyed for the National Road from Springfield to Richmond, 1835",1836-01-01T00:00:00Z,1836,"ENVELOPE(-84.9\, -83.8\, 39.95\, 39.8)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-80.8333\,40.0]}\,""properties"":{""placename"":""Ohio""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-84.9\,39.8]\,[-83.8\,39.8]\,[-83.8\,39.95]\,[-84.9\,39.95]\,[-84.9\,39.8]]]}\,""bbox"":[-84.9\,39.8\,-83.8\,39.95]}",06_01_011190,commonwealth:4m90f8626
commonwealth:cj82m5028,Cattalina Harbor,1737-01-01T00:00:00Z,1737,"ENVELOPE(-53.09\, -53.05\, 48.53\, 48.49)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-53.1\,48.5333]}\,""properties"":{""placename"":""Catalina\, Newfoundland and Labrador""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-53.09\,48.49]\,[-53.05\,48.49]\,[-53.05\,48.53]\,[-53.09\,48.53]\,[-53.09\,48.49]]]}\,""bbox"":[-53.09\,48.49\,-53.05\,48.53]}",06_01_010264,commonwealth:cj82m503j
commonwealth:cj82kt438,An historical map of the Roman Empire and the neighbouring barbarous nations to the year of our Lord four hundred when the empire began to be rent with foreign invasions,1709-01-01T00:00:00Z,1709,"ENVELOPE(-55.4438110861623\, 101.61341160359453\, 63.822606747420714\, 20.066723681668968)","{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-55.4438110861623\,20.066723681668968]\,[101.61341160359453\,20.066723681668968]\,[101.61341160359453\,63.822606747420714]\,[-55.4438110861623\,63.822606747420714]\,[-55.4438110861623\,20.066723681668968]]]}\,""bbox"":[-55.4438110861623\,20.066723681668968\,101.61341160359453\,63.822606747420714]}",06_01_009679,commonwealth:cj82kt44j
commonwealth:0r96fp272,"New map of the American overland route showing its connections, and land grants of 30,000,000 acres",1870-01-01T00:00:00Z,1870,"ENVELOPE(-125.0\, -68.0\, 49.0\, 29.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-98.0\,38.0]}\,""properties"":{""placename"":""United States""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-125.0\,29.0]\,[-68.0\,29.0]\,[-68.0\,49.0]\,[-125.0\,49.0]\,[-125.0\,29.0]]]}\,""bbox"":[-125.0\,29.0\,-68.0\,49.0]}",06_01_016060,commonwealth:0r96fp28b
commonwealth:cj82kk65v,"Post route map of the territory of Utah with adjacent parts of the states of Nevada, Idaho, Wyoming and Colorado and the territory of Arizona",1895-01-01T00:00:00Z,1895,"ENVELOPE(-114.69396760578145\, -108.41957493903708\, 42.856925154145735\, 36.367841856578366)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-110.0\,40.0]}\,""properties"":{""placename"":""Utah""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-114.69396760578145\,36.367841856578366]\,[-108.41957493903708\,36.367841856578366]\,[-108.41957493903708\,42.856925154145735]\,[-114.69396760578145\,42.856925154145735]\,[-114.69396760578145\,36.367841856578366]]]}\,""bbox"":[-114.69396760578145\,36.367841856578366\,-108.41957493903708\,42.856925154145735]}",06_01_009022,commonwealth:cj82kk664
commonwealth:7h149x91h,A chart of Montego Bay on the north west shore of the island of Jamaica,1780-01-01T00:00:00Z,1780,"ENVELOPE(-76.2738\, -76.2613\, 18.113\, 18.1027),ENVELOPE(-77.5723\, -77.5459\, 18.2859\, 18.2614)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-77.5\,18.25]}\,""properties"":{""placename"":""Jamaica""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-77.918\,18.471]}\,""properties"":{""placename"":""Montego Bay\, Jamaica""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-76.461\,18.18]}\,""properties"":{""placename"":""Port Antonio\, Jamaica""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-76.2738\,18.1027]\,[-76.2613\,18.1027]\,[-76.2613\,18.113]\,[-76.2738\,18.113]\,[-76.2738\,18.1027]]]}\,""bbox"":[-76.2738\,18.1027\,-76.2613\,18.113]},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-77.5723\,18.2614]\,[-77.5459\,18.2614]\,[-77.5459\,18.2859]\,[-77.5723\,18.2859]\,[-77.5723\,18.2614]]]}\,""bbox"":[-77.5723\,18.2614\,-77.5459\,18.2859]}",06_01_004998,commonwealth:7h149x92s
commonwealth:cj82kr98f,Hollandiae septentrionalis & Frisiae occidentalis accuratissima delineatio,1690-01-01T00:00:00Z,1690,"ENVELOPE(4.25\, 5.21\, 52.58\, 52.16)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[5.75\,52.5]}\,""properties"":{""placename"":""Netherlands""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[4.25\,52.16]\,[5.21\,52.16]\,[5.21\,52.58]\,[4.25\,52.58]\,[4.25\,52.16]]]}\,""bbox"":[4.25\,52.16\,5.21\,52.58]}",06_01_009526,commonwealth:cj82kr99q
commonwealth:cj82kn63q,Rail road map of New England & eastern New York,1849-01-01T00:00:00Z,1849,"ENVELOPE(-74.0\, -70.0\, 44.0\, 40.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-75.0\,43.0]}\,""properties"":{""placename"":""New York""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-74.0\,40.0]\,[-70.0\,40.0]\,[-70.0\,44.0]\,[-74.0\,44.0]\,[-74.0\,40.0]]]}\,""bbox"":[-74.0\,40.0\,-70.0\,44.0]}",06_01_009155,commonwealth:cj82kn640
commonwealth:hx11z148t,Plan Elevation and sections of Blockhouse to be built at Penobscot in the Bay of Funda to contain 100 Men or more if necessary. The dotted line in the Plans shows the projection of the upper floor,1759-01-01T00:00:00Z,1759,"ENVELOPE(-68.812222\, -68.811111\, 44.468333\, 44.4675)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-68.81892\,44.46674]}\,""properties"":{""placename"":""Fort Point State Park""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-68.812222\,44.4675]\,[-68.811111\,44.4675]\,[-68.811111\,44.468333]\,[-68.812222\,44.468333]\,[-68.812222\,44.4675]]]}\,""bbox"":[-68.812222\,44.4675\,-68.811111\,44.468333]}",add_ms_57711_1,commonwealth:hx11z1493
commonwealth:cj82kv99b,New map of Massachusetts compiled from the latest and best authorities,1863-01-01T00:00:00Z,1863,"ENVELOPE(-73.76633284649361\, -69.6960601679097\, 43.094222295250674\, 40.88119603974759)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.8333\,42.25]}\,""properties"":{""placename"":""Massachusetts""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-73.76633284649361\,40.88119603974759]\,[-69.6960601679097\,40.88119603974759]\,[-69.6960601679097\,43.094222295250674]\,[-73.76633284649361\,43.094222295250674]\,[-73.76633284649361\,40.88119603974759]]]}\,""bbox"":[-73.76633284649361\,40.88119603974759\,-69.6960601679097\,43.094222295250674]}",06_01_009817,commonwealth:cj82kw00w
commonwealth:cj82m4218,A generall mapp of the continent and islands which bee adjacent to Jamaica,1688-01-01T00:00:00Z,1688,"ENVELOPE(-99.32\, -60.09\, 35.34\, 12.53),ENVELOPE(-78.27\, -76.06\, 18.39\, 17.37)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-77.5\,18.25]}\,""properties"":{""placename"":""Jamaica""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-99.32\,12.53]\,[-60.09\,12.53]\,[-60.09\,35.34]\,[-99.32\,35.34]\,[-99.32\,12.53]]]}\,""bbox"":[-99.32\,12.53\,-60.09\,35.34]},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-78.27\,17.37]\,[-76.06\,17.37]\,[-76.06\,18.39]\,[-78.27\,18.39]\,[-78.27\,17.37]]]}\,""bbox"":[-78.27\,17.37\,-76.06\,18.39]}",06_01_010220,commonwealth:cj82m422j
commonwealth:3f462v47n,La France divisée par généralités,1769-01-01T00:00:00Z,1769,"ENVELOPE(-7.0\, 9.0\, 51.25\, 42.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[2.0\,46.0]}\,""properties"":{""placename"":""France""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-7.0\,42.0]\,[9.0\,42.0]\,[9.0\,51.25]\,[-7.0\,51.25]\,[-7.0\,42.0]]]}\,""bbox"":[-7.0\,42.0\,9.0\,51.25]}",06_01_014655,commonwealth:3f462v48x
commonwealth:q524n532d,"Guadaloupe, one of the Caribbee Islands subject to France in the West Indies",1768-01-01T00:00:00Z,1768,"ENVELOPE(-61.84\, -61.14\, 16.53\, 15.93)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-61.5833\,16.25]}\,""properties"":{""placename"":""Guadeloupe""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-61.84\,15.93]\,[-61.14\,15.93]\,[-61.14\,16.53]\,[-61.84\,16.53]\,[-61.84\,15.93]]]}\,""bbox"":[-61.84\,15.93\,-61.14\,16.53]}",4000137_0107r,commonwealth:q524n533p
commonwealth:7h14b1171,"G. Woolworth Colton's railroad, township & distance map of New England with adjacent portions of New York, Canada & New Brunswick",1864-01-01T00:00:00Z,1864,"ENVELOPE(-74.4\, -66.9\, 47.5\, 40.5)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.8333\,42.25]}\,""properties"":{""placename"":""Massachusetts""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-74.4\,40.5]\,[-66.9\,40.5]\,[-66.9\,47.5]\,[-74.4\,47.5]\,[-74.4\,40.5]]]}\,""bbox"":[-74.4\,40.5\,-66.9\,47.5]}",06_01_008654,commonwealth:7h14b1189
commonwealth:ht2506611,Nouveau plan illustré de la ville de Paris,1858-01-01T00:00:00Z,1858,"ENVELOPE(2.2\, 2.49\, 48.92\, 48.8)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[2.333333\,48.866667]}\,""properties"":{""placename"":""Paris\, France""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[2.2\,48.8]\,[2.49\,48.8]\,[2.49\,48.92]\,[2.2\,48.92]\,[2.2\,48.8]]]}\,""bbox"":[2.2\,48.8\,2.49\,48.92]}",06_01_014185,commonwealth:ht2506629
commonwealth:wd3765843,Map of Massachusetts,1878-01-01T00:00:00Z,1878,"ENVELOPE(-73.75185336885954\, -69.62002142945727\, 43.05297207220705\, 41.058641032763035)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.8333\,42.25]}\,""properties"":{""placename"":""Massachusetts""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-73.75185336885954\,41.058641032763035]\,[-69.62002142945727\,41.058641032763035]\,[-69.62002142945727\,43.05297207220705]\,[-73.75185336885954\,43.05297207220705]\,[-73.75185336885954\,41.058641032763035]]]}\,""bbox"":[-73.75185336885954\,41.058641032763035\,-69.62002142945727\,43.05297207220705]}",06_01_002598,commonwealth:wd376585c
commonwealth:9g54z151v,"Atlas of the city of Newton, Massachusetts",1886-01-01T00:00:00Z,1886,"ENVELOPE(-71.239949\, -71.171842\, 42.344029\, 42.30505)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.2\,42.3333]}\,""properties"":{""placename"":""Newton\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.239949\,42.30505]\,[-71.171842\,42.30505]\,[-71.171842\,42.344029]\,[-71.239949\,42.344029]\,[-71.239949\,42.30505]]]}\,""bbox"":[-71.239949\,42.30505\,-71.171842\,42.344029]}",G1234_N5_J33_1886_0023,commonwealth:9g54z1524
commonwealth:j3860865w,Massachusetts,1800-01-01T00:00:00Z,1800,"ENVELOPE(-75.07674099646984\, -69.00495304701046\, 44.093564030236486\, 40.646481833493695)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.8333\,42.25]}\,""properties"":{""placename"":""Massachusetts""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-75.07674099646984\,40.646481833493695]\,[-69.00495304701046\,40.646481833493695]\,[-69.00495304701046\,44.093564030236486]\,[-75.07674099646984\,44.093564030236486]\,[-75.07674099646984\,40.646481833493695]]]}\,""bbox"":[-75.07674099646984\,40.646481833493695\,-69.00495304701046\,44.093564030236486]}",1376,commonwealth:j38608665
commonwealth:0r96fm24t,America the wonderland,1940-01-01T00:00:00Z,1940,"ENVELOPE(-125.0\, -67.0\, 50.0\, 24.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-98.0\,38.0]}\,""properties"":{""placename"":""United States""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-125.0\,24.0]\,[-67.0\,24.0]\,[-67.0\,50.0]\,[-125.0\,50.0]\,[-125.0\,24.0]]]}\,""bbox"":[-125.0\,24.0\,-67.0\,50.0]}",06_01_014726,commonwealth:0r96fm253
commonwealth:3f463105b,Mississippi Territory and Georgia,1806-01-01T00:00:00Z,1806,"ENVELOPE(-92.0\, -80.0\, 36.0\, 28.5)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-87.0\,33.0]}\,""properties"":{""placename"":""Alabama""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-84.0\,32.0]}\,""properties"":{""placename"":""Georgia""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-89.653\,32.712]}\,""properties"":{""placename"":""Mississippi""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-92.0\,28.5]\,[-80.0\,28.5]\,[-80.0\,36.0]\,[-92.0\,36.0]\,[-92.0\,28.5]]]}\,""bbox"":[-92.0\,28.5\,-80.0\,36.0]}",06_01_004686,commonwealth:3f463106m
commonwealth:4m90f4478,Relief map of New Jersey,1896-01-01T00:00:00Z,1896,"ENVELOPE(-75.77542253665791\, -73.69316861019286\, 41.489810649076254\, 38.76304023757306)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-75.0\,40.0]}\,""properties"":{""placename"":""New Jersey""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-75.77542253665791\,38.76304023757306]\,[-73.69316861019286\,38.76304023757306]\,[-73.69316861019286\,41.489810649076254]\,[-75.77542253665791\,41.489810649076254]\,[-75.77542253665791\,38.76304023757306]]]}\,""bbox"":[-75.77542253665791\,38.76304023757306\,-73.69316861019286\,41.489810649076254]}",06_01_010876,commonwealth:4m90f448j
commonwealth:7h149z97c,Africae nova tabula,1638-01-01T00:00:00Z,1638,"ENVELOPE(-21.09\, 53.33\, 38.32\, -36.4)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[16.066\,2.383]}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-21.09\,-36.4]\,[53.33\,-36.4]\,[53.33\,38.32]\,[-21.09\,38.32]\,[-21.09\,-36.4]]]}\,""bbox"":[-21.09\,-36.4\,53.33\,38.32]}",06_01_008609,commonwealth:7h149z98n
commonwealth:4m90f709g,New sectional map of the state of Illinois,1852-01-01T00:00:00Z,1852,"ENVELOPE(-92.59402283235563\, -87.00041582120593\, 42.88044742276597\, 36.661675590919316)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-89.0\,40.0]}\,""properties"":{""placename"":""Illinois""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-92.59402283235563\,36.661675590919316]\,[-87.00041582120593\,36.661675590919316]\,[-87.00041582120593\,42.88044742276597]\,[-92.59402283235563\,42.88044742276597]\,[-92.59402283235563\,36.661675590919316]]]}\,""bbox"":[-92.59402283235563\,36.661675590919316\,-87.00041582120593\,42.88044742276597]}",06_01_011089,commonwealth:4m90f7107
commonwealth:4m90f305j,A plan of the city of New York from an actual survey,1860-01-01T00:00:00Z,1860,"ENVELOPE(-74.02\, -73.995\, 40.72\, 40.7)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-74.0\,40.7]}\,""properties"":{""placename"":""New York\, NY""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-74.02\,40.7]\,[-73.995\,40.7]\,[-73.995\,40.72]\,[-74.02\,40.72]\,[-74.02\,40.7]]]}\,""bbox"":[-74.02\,40.7\,-73.995\,40.72]}",06_01_010768,commonwealth:4m90f306t
commonwealth:r781wp69r,Andover,1880-01-01T00:00:00Z,1880,"ENVELOPE(-71.26\, -71.07\, 42.7\, 42.59)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.1333\,42.6667]}\,""properties"":{""placename"":""Shawsheen Village\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.26\,42.59]\,[-71.07\,42.59]\,[-71.07\,42.7]\,[-71.26\,42.7]\,[-71.26\,42.59]]]}\,""bbox"":[-71.26\,42.59\,-71.07\,42.7]}",1512,commonwealth:r781wp70h
commonwealth:7h14b0272,Lac Superieur et autres lieux ou sont les missions des peres de la Compagnie de Iesus comprises sous le nom d'Outaouacs,1839-01-01T00:00:00Z,1839,"ENVELOPE(-93.0\, -81.0\, 50.0\, 44.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-88.0\,47.5]}\,""properties"":{""placename"":""Superior\, Lake""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-93.0\,44.0]\,[-81.0\,44.0]\,[-81.0\,50.0]\,[-93.0\,50.0]\,[-93.0\,44.0]]]}\,""bbox"":[-93.0\,44.0\,-81.0\,50.0]}",06_01_008630,commonwealth:7h14b028b
commonwealth:cj82kp74f,Map of Atlantic & Pacific Rail Road,1871-01-01T00:00:00Z,1871,"ENVELOPE(-100.0\, -89.0\, 39.0\, 33.0)","{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-100.0\,33.0]\,[-89.0\,33.0]\,[-89.0\,39.0]\,[-100.0\,39.0]\,[-100.0\,33.0]]]}\,""bbox"":[-100.0\,33.0\,-89.0\,39.0]}",06_01_009242,commonwealth:cj82kp75q
commonwealth:9s161885z,"The seat of action, between the British and American forces",1776-01-01T00:00:00Z,1776,"ENVELOPE(-74.5\, -73.55\, 41.2\, 40.45)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-74.0\,40.7]}\,""properties"":{""placename"":""New York\, NY""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-74.5\,40.45]\,[-73.55\,40.45]\,[-73.55\,41.2]\,[-74.5\,41.2]\,[-74.5\,40.45]]]}\,""bbox"":[-74.5\,40.45\,-73.55\,41.2]}",06_01_003213,commonwealth:9s1618867
commonwealth:7h14b209j,"A diagram of the triangulation for the survey of the coast of the United States, made in 1817 and 1833, and the secondary triangles made in 1833 & 1834 in Connecticut & upon Long Island",1830-01-01T00:00:00Z,1830,"ENVELOPE(-74.67\, -72.67\, 41.67\, 40.33)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-75.0\,43.0]}\,""properties"":{""placename"":""New York""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-75.0\,40.0]}\,""properties"":{""placename"":""New Jersey""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-72.8333\,41.8333]}\,""properties"":{""placename"":""Connecticut""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-74.67\,40.33]\,[-72.67\,40.33]\,[-72.67\,41.67]\,[-74.67\,41.67]\,[-74.67\,40.33]]]}\,""bbox"":[-74.67\,40.33\,-72.67\,41.67]}",06_01_008721,commonwealth:7h14b2109
commonwealth:6t053q283,"A chorographical map of the Province of New-York in North America, divided into counties, manors, patents and townships",1779-01-01T00:00:00Z,1779,"ENVELOPE(-76.5\, -71.75\, 45.25\, 40.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-75.0\,43.0]}\,""properties"":{""placename"":""New York""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-76.5\,40.0]\,[-71.75\,40.0]\,[-71.75\,45.25]\,[-76.5\,45.25]\,[-76.5\,40.0]]]}\,""bbox"":[-76.5\,40.0\,-71.75\,45.25]}",06_01_006302,commonwealth:6t053q29c
commonwealth:6h446s09g,"Atlas of the county of Suffolk, Massachusetts : vol. 3rd including Boston and Dorchester : from actual surveys and official records",1874-01-01T00:00:00Z,1874,"ENVELOPE(-71.1137\, -71.061\, 42.2939\, 42.2667)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.0667\,42.2833]}\,""properties"":{""placename"":""Dorchester\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.0833\,42.2667]}\,""properties"":{""placename"":""Mattapan\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.1137\,42.2667]\,[-71.061\,42.2667]\,[-71.061\,42.2939]\,[-71.1137\,42.2939]\,[-71.1137\,42.2667]]]}\,""bbox"":[-71.1137\,42.2667\,-71.061\,42.2939]}",G1233_S8_H6_1874v3_0020,commonwealth:tm70rs79h
commonwealth:6h446v81m,Insurance map of Charlestown : portions of Roxbury (now annexed to Boston) and Cambridge,1868-01-01T00:00:00Z,1868,"ENVELOPE(-71.091\, -71.085\, 42.334\, 42.33)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.0833\,42.3167]}\,""properties"":{""placename"":""Roxbury\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.091\,42.33]\,[-71.085\,42.33]\,[-71.085\,42.334]\,[-71.091\,42.334]\,[-71.091\,42.33]]]}\,""bbox"":[-71.091\,42.33\,-71.085\,42.334]}",G1234_B6_2C38G475_S2_1868x_0026,commonwealth:tm70rw62z
commonwealth:cj82m017v,"A new map of the Island of Barbadoes wherein every parish, plantation, watermill, windmill & cattlemill, is described with the name of the present possessor, and all things els remarkable according to a late exact survey thereof",1686-01-01T00:00:00Z,1686,"ENVELOPE(-59.3925\, -59.2459\, 13.2006\, 13.0241)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-59.5333\,13.1667]}\,""properties"":{""placename"":""Barbados""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-59.3925\,13.0241]\,[-59.2459\,13.0241]\,[-59.2459\,13.2006]\,[-59.3925\,13.2006]\,[-59.3925\,13.0241]]]}\,""bbox"":[-59.3925\,13.0241\,-59.2459\,13.2006]}",06_01_010163,commonwealth:cj82m0184
commonwealth:ht250402f,Map of Europe,1854-01-01T00:00:00Z,"1859,1854","ENVELOPE(-25.0\, 65.0\, 72.0\, 32.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[15.016\,56.2]}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-25.0\,32.0]\,[65.0\,32.0]\,[65.0\,72.0]\,[-25.0\,72.0]\,[-25.0\,32.0]]]}\,""bbox"":[-25.0\,32.0\,65.0\,72.0]}",06_01_016369,commonwealth:ht250403q
commonwealth:hq37vv52g,Universale della parte del mondo nuovamente ritrovata,1556-01-01T00:00:00Z,1556,"ENVELOPE(172.0\, -8.0\, 90.0\, -90.0)","{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-188.0\,-90.0]\,[-8.0\,-90.0]\,[-8.0\,90.0]\,[-188.0\,90.0]\,[-188.0\,-90.0]]]}\,""bbox"":[172.0\,-90.0\,-8.0\,90.0]}",1342,commonwealth:hq37vv53r
commonwealth:z603vg38x,"A Map of New England & ye country adjacent,",1755-01-01T00:00:00Z,1755,"ENVELOPE(-81.58333\, -69.58333\, 48.0\, 38.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-79.9833\,40.4333]}\,""properties"":{""placename"":""Pittsburgh\, PA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-81.58333\,38.0]\,[-69.58333\,38.0]\,[-69.58333\,48.0]\,[-81.58333\,48.0]\,[-81.58333\,38.0]]]}\,""bbox"":[-81.58333\,38.0\,-69.58333\,48.0]}",485076_0001,commonwealth:6108vt07k
commonwealth:3f4637359,The partition of Africa,1911-01-01T00:00:00Z,1911,"ENVELOPE(-39.677069986719104\, 73.21226441553486\, 63.492799647254245\, -52.955901482491456)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[16.066\,2.383]}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-39.677069986719104\,-52.955901482491456]\,[73.21226441553486\,-52.955901482491456]\,[73.21226441553486\,63.492799647254245]\,[-39.677069986719104\,63.492799647254245]\,[-39.677069986719104\,-52.955901482491456]]]}\,""bbox"":[-39.677069986719104\,-52.955901482491456\,73.21226441553486\,63.492799647254245]}",06_01_000971,commonwealth:3f463736k
